X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8422541.2468191,5690875.69131009,61,7049,MONTFORT / BRADLEY,45.438845,-75.660976,Y,Y
-8422588.11235349,5690886.16226603,62,7047,MONTFORT / PARK,45.438911,-75.661397, , 
-8422767.55949589,5690869.50449411,63,7048,MONTFORT / MARIER,45.438806,-75.663009, , 
-8422825.44566731,5690879.49952014,64,7050,MARIER / MONTFORT,45.438869,-75.663529, , 
-8422768.78401804,5690839.51986995,65,7110,MARIER / MONFORT,45.438617,-75.66302, , 
-8422675.05300008,5690598.85305119,66,7111,MARIER / DESCHAMPS,45.4371,-75.662178, , 
-8422643.77219887,5690613.92420455,67,7112,MARIER / DESCHAMPS,45.437195,-75.661897, , 
-8424142.02218867,5690728.15220719,68,8944,VANIER / PATHWAY,45.437915,-75.675356, , 
-8424121.20544385,5690685.7936291,69,1398,VANIER / PATHWAY,45.437648,-75.675169, , 
-8423715.33432574,5690633.12250343,70,6579,VANIER / MEILLEUR,45.437316,-75.671523,Y, 
-8423723.23802076,5690607.5807299,71,6580,VANIER / MEILLEUR,45.437155,-75.671594, , 
-8423440.26370861,5690513.66309756,72,7051,VANIER / DESCHAMPS,45.436563,-75.669052, , 
-8423501.37815008,5690512.07680363,73,8775,VANIER / DESCHAMPS,45.436553,-75.669601, , 
-8423147.93858541,5690279.66738808,74,7052,VANIER / MONTRÉAL,45.435088,-75.666426,Y,Y
-8423494.03119563,5689961.6033586,75,8781,MONTRÉAL / NORTH RIVER,45.433083,-75.669535,Y, 
-8423373.24944841,5690004.11680851,76,1575,MONTRÉAL / MONTGOMERY,45.433351,-75.66845,Y, 
-8423171.87232421,5690139.74923535,77,8783,MONTRÉAL / VANIER,45.434206,-75.666641,Y, 
-8423018.36263055,5690199.0790596,78,382,MONTRÉAL / VANIER,45.43458,-75.665262, , 
-8422891.45830453,5690294.57892037,79,8947,MONTRÉAL / EMOND,45.435182,-75.664122, , 
-8422655.79476049,5690403.72267016,80,631,MONTRÉAL / OLMSTEAD,45.43587,-75.662005, , 
-8422625.62714946,5690442.43105293,81,901,MONTRÉAL / MARIER,45.436114,-75.661734, , 
-8422224.76535147,5690636.76815765,82,7058,MONTRÉAL / LACASSE,45.437339,-75.658133, , 
-8422286.77035122,5690627.56688849,83,1279,MONTRÉAL / BRADLEY,45.437281,-75.65869, , 
-8421968.17372135,5690780.02514049,84,1543,MONTRÉAL / GRANVILLE,45.438242,-75.655828, ,Y
-8421878.22750916,5690796.36565867,85,807,MONTRÉAL / LAFONTAINE,45.438345,-75.65502, , 
-8421578.10992382,5690962.7881186,86,926,MONTRÉAL / DE L'ÉGLISE,45.439394,-75.652324, , 
-8421465.7884765,5690990.39316448,87,8740,MONTRÉAL / DE L'ÉGLISE,45.439568,-75.651315, , 
-8421268.75282568,5691081.30040134,88,7060,MONTRÉAL / NOTRE-DAME CEMETERY,45.440141,-75.649545, , 
-8421273.76220093,5691103.67049234,89,927,MONTRÉAL / NOTRE-DAME CEMETERY,45.440282,-75.64959, , 
-8422760.10143869,5689673.21167729,90,8723,MCARTHUR / VANIER,45.431265,-75.662942,Y, 
-8422778.91446035,5689640.53443172,91,8773,MCARTHUR / VANIER,45.431059,-75.663111,Y, 
-8422504.06644144,5689669.08683691,92,7061,MCARTHUR / OLMSTEAD,45.431239,-75.660642, , 
-8422435.38225494,5689701.28820491,93,8774,MCARTHUR / OLMSTEAD,45.431442,-75.660025,Y, 
-8422088.73312334,5689715.56401951,94,8932,MCARTHUR / ALLEN,45.431532,-75.656911, , 
-8422075.04080336,5689744.59307885,95,7063,MCARTHUR / LACASSE,45.431715,-75.656788, , 
-8421867.09584927,5689759.50374034,96,8615,MCARTHUR / LAFONTAINE,45.431809,-75.65492, ,Y
-8421794.84946134,5689738.72313663,97,7064,MCARTHUR / LAFONTAINE,45.431678,-75.654271,Y, 
-8421657.70373618,5689784.40810008,98,7065,MCARTHUR / EASTWOOD,45.431966,-75.653039,Y, 
-8421589.68749305,5689760.77211784,99,8600,MCARTHUR / IRWIN MILLER,45.431817,-75.652428, ,Y
-8421326.0827428,5689805.18785173,100,7066,MCARTHUR / BRANT,45.432097,-75.65006,Y, 
-8421331.31477062,5689787.42129399,101,7067,MCARTHUR / BRANT,45.431985,-75.650107, , 
-8420893.0495953,5689858.32829577,102,8605,MCARTHUR / MAY,45.432432,-75.64617, , 
-8421082.9607983,5689812.80162643,103,8662,MCARTHUR / MOORVALE,45.432145,-75.647876, , 
-8420561.20595259,5689886.8813164,104,7069,MCARTHUR / ST-LAURENT,45.432612,-75.643189, , 
-8420742.32290353,5689844.20983433,105,7070,MCARTHUR / MAY,45.432343,-75.644816, ,Y
-8422487.92507723,5689727.77929115,106,8280,OLMSTEAD / MCARTHUR,45.431609,-75.660497, ,Y
-8422492.04379752,5689950.49699245,107,8282,OLMSTEAD / JEANNE-MANCE,45.433013,-75.660534, , 
-8422537.46219364,5689921.15005845,108,8283,OLMSTEAD / HERITAGE MAPLE,45.432828,-75.660942, ,Y
-8422706.33385453,5690353.59241235,109,8285,OLMSTEAD / MONTRÉAL,45.435554,-75.662459, , 
-8422218.08708863,5688034.73398329,110,7080,VANIER / COVENTRY,45.420935,-75.658073, ,Y
-8422295.89943768,5688150.51214961,111,7081,VANIER / COVENTRY,45.421665,-75.658772,Y,Y
-8422582.65860281,5688297.21998215,112,8175,VANIER / PRESLAND,45.42259,-75.661348,Y, 
-8422565.07010349,5688332.11279099,113,8174,VANIER / PRESLAND,45.42281,-75.66119, , 
-8422696.98373072,5688579.06323191,114,7082,VANIER / QUEEN MARY,45.424367,-75.662375, , 
-8422657.79924859,5688558.76126549,115,7084,VANIER / QUEEN MARY,45.424239,-75.662023, , 
-8422762.88474653,5688988.12408043,116,7083,VANIER / DONALD,45.426946,-75.662967,Y, 
-8422734.60952141,5689107.72108642,117,8517,VANIER / DONALD,45.4277,-75.662713, ,Y
-8422880.88322641,5689544.56563966,118,5700,VANIER / MCARTHUR,45.430454,-75.664027,Y,Y
-8422867.85876352,5689703.1926129,119,8770,VANIER / MCARTHUR,45.431454,-75.66391,Y,Y
-8422917.28463099,5689744.75344992,120,8945,VANIER / MCARTHUR,45.431716,-75.664354,Y, 
-8423072.90923883,5690106.11823776,121,7085,VANIER / MONTRÉAL,45.433994,-75.665752,Y, 
-8423322.93319971,5689584.85758429,122,1995,MCARTHUR / NORTH RIVER,45.430708,-75.667998, , 
-8423067.67740953,5689644.97658219,123,8777,MCARTHUR / MAYFIELD,45.431087,-75.665705, ,Y
-8423065.22839504,5689610.71313246,124,7086,MCARTHUR / MAYFIELD,45.430871,-75.665683, ,Y
