OSM_TYPE,OSM_ID,NAME,TYPE,CUISINE,LATITUDE,LONGITUDE
way,460449455,Viv Bistro,restaurant,,45.4001114,-75.7094726
node,1483920550,Von's,restaurant,,45.4022853,-75.6878198
way,710675462,Wa Hing Li Ho,restaurant,chinese,45.5029285,-75.6759259
way,479399894,Wan's Chinese Food,restaurant,chinese,45.2937266,-75.7415259
way,258271691,Wandee Thai Cuisine,restaurant,thai,45.4008798,-75.7078014
node,6652411601,Warehouse,restaurant,mexican,45.4291273,-75.6932158
way,613195165,We Desi,restaurant,indian,45.3773346,-75.7533805
node,5825900100,Weis Noodle House,restaurant,noodle,45.4039848,-75.7018232
way,481899065,Welcome Back Restaurant,restaurant,chinese,45.3221601,-75.8317303
node,7967872609,Wendover Family Restaurant & Pizzeria,restaurant,,45.5681669,-75.1237607
way,433771698,White Lake Restaurant,restaurant,burger,45.3548573,-76.4909385
way,483033152,Wild Wing,restaurant,chicken,45.4502425,-75.5175816
way,484644583,Wild Wing,restaurant,chicken,45.4294816,-75.6379837
way,654750515,Wild Wing,restaurant,chicken,45.2861219,-75.8682679
node,5528478945,Wild Wing,restaurant,chicken,45.3687794,-75.7026015
node,3089888874,Wilf & Ada's,restaurant,breakfast,45.4102144,-75.6926325
node,600127269,Wilfred's,restaurant,,45.4253644,-75.6955164
way,484718425,Willie's Chinese Food,restaurant,chinese,45.4745105,-75.5177665
way,479191225,Willy's Pizza,restaurant,pizza,45.2662675,-75.7715619
way,545360475,Willys Pizza,restaurant,,45.3682008,-75.7857844
node,11143748364,Windbell Sushi,restaurant,sushi,45.3234613,-75.926177
way,485224222,Wok Hey !,restaurant,chinese,45.3504733,-75.6710446
node,10211286557,Wolves Den Restaurant,restaurant,,45.3508225,-75.7545652
way,481375480,Wow India,restaurant,indian,45.4348939,-75.6651629
way,479919696,Xiang Zi,restaurant,chinese,45.3626839,-75.7118444
node,2450668978,Xtreme Pizza,restaurant,pizza,45.408036,-75.7138248
way,671165711,Yalla Yalla,restaurant,lebanese,45.4686172,-75.4543487
way,670779940,Yam'e,restaurant,asian,45.4677215,-75.7011577
way,679524057,Yang Sheng Restaurant,restaurant,chinese,45.4114555,-75.7054992
node,6386569895,Ye Old Orchard Pub,restaurant,,45.4256563,-75.7169031
node,7281190801,Yolks,restaurant,breakfast;lunch,45.4014442,-75.6876503
way,478978382,Yorgo's Greek Food and Pizza,restaurant,,45.287092,-75.7577294
node,5868668223,Yunshang Rice Noodle,restaurant,noodle,45.4156162,-75.6963466
way,567230331,Zak's Diner,restaurant,,45.3110303,-75.9198783
node,588178972,Zak's Diner,restaurant,american,45.4283133,-75.6935015
node,600101630,Zak's Diner,restaurant,,45.4186917,-75.6912879
node,2088038858,Zaytoun Pizza,restaurant,,45.3767249,-75.646349
way,470245223,Ze Kitchen,restaurant,,45.5177248,-75.4045767
node,4614343810,Zoé's Lounge,restaurant,,45.425326,-75.6945142
way,68658320,Zola's,restaurant,italian,45.3188041,-75.840178
