COURT_TYPE,SPORT_TYPE,NAME,PARK_NAME,ADDRESS,LATITUDE,LONGITUDE,FIELD_SIZE,LIGHTS,ACCESSIBLE,WARD
"Basketball Court","basketball","Basketball Key","Ouellette Park","530 Strasbourg Street, Cumberland","45.45148113353029","-75.48863909470712","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Stanley Park","1575 Lakeshore Drive, Osgoode","45.24538685366072","-75.58387735104884","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Scisson's Park","96 Bridle Park Drive, Kanata","45.28337238766778","-75.84884634156259","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Scala Park","797 Scala Avenue, Cumberland","45.46290468592713","-75.46863166129066","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Rooney Park","15 Steeple Hill Crescent, Nepean","45.26771327092059","-75.8265718873558","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Whiterock Park","1245 Matheson Road, Gloucester","45.432025222705725","-75.62786743998208","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Trappers Park","3580 Trapper's Road, Gloucester","45.34664664248493","-75.64521534182963","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Trojan Park","901 Trojan Avenue, Ottawa","45.433240955838784","-75.63717201632014","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","New Edinburgh Park","203 Stanley Avenue, Ottawa","45.43782232494135","-75.68699651031015","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Heatherington Park","1560 Heatherington Road, Ottawa","45.37353664823828","-75.64820973748868","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Heatherington Park","1560 Heatherington Road, Ottawa","45.373520197388785","-75.64906901827877","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Don Boudria Park","655 Décoeur Drive","45.444399054186334","-75.49122447573922","Non standard (on ice rink)","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Stonecrest Park","220 Stoneway Drive","45.28789122239943","-75.71585896536726","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Mowat Farm Park","100 Fable Street, Nepean","45.27748272545672","-75.76495027238867","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Rubicon Park","915 Rubicon Place","45.27111294253891","-75.87860334616614","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Sieveright Park","2999 Sable Ridge Drive, Gloucester","45.355262858156735","-75.63599166057953","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Memorial Grove Park","335 Memorial Grove","45.271574903626046","-75.67756038468188","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Sandalwood Park","2850 Sandalwood Drive, Ottawa","45.37763380638093","-75.64776576941404","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Cecil Morrison Park","1332 Avenue N, Ottawa","45.41729196578509","-75.6453460422119","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Frank Ryan Park","950 Alpine Avenue, Ottawa","45.356412116451104","-75.78948111672275","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Reid Park","40 Reid Avenue, Ottawa","45.39755065013303","-75.7232387790382","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Bellevue Manor Park","1520 Caldwell Avenue, Ottawa","45.372120515417585","-75.73947210248518","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Emerald Woods Park","3795 Alderwood Street","45.34522423563963","-75.64025744545346","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Morgan's Grant Woods Park","50 Flamborough Way, Kanata","45.34759889423676","-75.93174093472182","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Elmridge Park","1841 Elmridge Drive, Gloucester","45.44363510706298","-75.6043253110941","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Delorme Park","6591 Delorme Avenue, Gloucester","45.4571166688466","-75.51071666605141","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","St. François Park","1855 Simard Drive, Gloucester","45.451608843113995","-75.51913001121967","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Sandalwood Park","2850 Sandalwood Drive, Ottawa","45.37800711306455","-75.64821366941469","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Provence Park","2095 Provence Avenue, Cumberland","45.461270101427345","-75.45704124266041","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Sharel Park","1900 Florida Avenue, Ottawa","45.38195024215032","-75.63934989728486","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Vista Park","720 Vistapark Drive, Cumberland","45.45025668645654","-75.47123004274155","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Bluegrass Park","59 Bluegrass Drive","45.285790900867205","-75.85986329458008","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Elizabeth Manley Park","1161 Blohm Drive, Ottawa","45.36928394849073","-75.61920344867987","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Brantwood Park","39 Onslow Crescent, Ottawa","45.40482958023502","-75.67074391800033","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Black Raven Community Park","675 Dundonald Drive","45.24189219971905","-75.74092869017566","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Blackburn Park","180 - 190 Glen Park Drive, Gloucester","45.429731791705045","-75.56255960531455","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Fallingbrook Park","681 Deancourt Crescent, Cumberland","45.48120315226971","-75.48774111269796","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Dragonfly Park","2920 Findlay Creek Drive, Gloucester","45.31580293433125","-75.60427300309343","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Overbrook Park","33 Quill Street","45.42539354812462","-75.65611757100218","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Overbrook Park","33 Quill Street","45.425156598238395","-75.65607816191067","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Pebble Trail Park","6860 Pebble Trail Way","45.26361916076198","-75.5840637523686","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Greely Village Park","7292 Parkway Road","45.26631279038884","-75.55116679987715","Full / Entier","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Key","Fallingbrook Park","681 Deancourt Crescent, Cumberland","45.480791543423436","-75.48836377544556","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Optimiste Park","43 Ste. Cécile Street, Vanier","45.44246527367926","-75.66992408762427","Full / Entier","unknown","no/non",""
