way_id,name,ref,type,lat,lng
26311912,"Autoroute Guy-Lafleur","50",motorway,45.4320817,-75.7282915
26311912,"Autoroute Guy-Lafleur","50",motorway,45.4319885,-75.7282553
26679397,"Boulevard des Allumettières","148",trunk,45.4324333,-75.7479441
26679397,"Boulevard des Allumettières","148",trunk,45.4323816,-75.7455176
26679397,"Boulevard des Allumettières","148",trunk,45.4323535,-75.7442326
26679405,"Boulevard des Allumettières","148",trunk,45.4324729,-75.7442284
26679405,"Boulevard des Allumettières","148",trunk,45.4325186,-75.7462968
26679405,"Boulevard des Allumettières","148",trunk,45.4325364,-75.7470925
26679405,"Boulevard des Allumettières","148",trunk,45.4325554,-75.74794
26679423,"Boulevard des Allumettières","148",trunk,45.4323535,-75.7442326
26679423,"Boulevard des Allumettières","148",trunk,45.4323116,-75.7423259
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4420357,-75.7238686
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.441688,-75.7241715
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4415319,-75.7243099
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4411104,-75.7246798
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4406406,-75.7250887
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4405596,-75.7251604
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4404475,-75.7252582
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4403529,-75.7253408
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4402558,-75.7254234
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4401818,-75.7254863
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4401072,-75.7255493
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4400361,-75.7256059
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4399681,-75.725657
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4398932,-75.7257139
29118029,"Autoroute Guy-Lafleur","50;148",motorway,45.4398164,-75.725769
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4397673,-75.7256381
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4398725,-75.7255613
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4399581,-75.7254971
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4400353,-75.725436
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4400986,-75.7253848
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4401717,-75.7253234
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4402498,-75.7252547
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4403532,-75.7251655
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4410522,-75.7245543
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4415451,-75.7241229
29118074,"Autoroute Guy-Lafleur","50;148",motorway,45.4419812,-75.7237425
29120769,"Autoroute Guy-Lafleur","50;148",motorway,45.4547283,-75.7159232
29120769,"Autoroute Guy-Lafleur","50;148",motorway,45.4590201,-75.7160904
29120787,"Autoroute Guy-Lafleur","50;148",motorway,45.4590501,-75.7162685
29120787,"Autoroute Guy-Lafleur","50;148",motorway,45.4547243,-75.716108
29120958,"Autoroute Guy-Lafleur","50",motorway,45.4703478,-75.7144479
29120958,"Autoroute Guy-Lafleur","50",motorway,45.4701076,-75.7145118
29121078,"Autoroute Guy-Lafleur","50",motorway,45.4698172,-75.7142942
29121078,"Autoroute Guy-Lafleur","50",motorway,45.471572,-75.7138236
29121444,"Autoroute Guy-Lafleur","50",motorway,45.5114013,-75.5996283
29121444,"Autoroute Guy-Lafleur","50",motorway,45.5114021,-75.6008927
29121571,"Autoroute Guy-Lafleur","50",motorway,45.5110211,-75.6006342
29121571,"Autoroute Guy-Lafleur","50",motorway,45.5110203,-75.5993708
30074753,"Autoroute Guy-Lafleur","50",motorway,45.505633,-75.6938586
30074753,"Autoroute Guy-Lafleur","50",motorway,45.505034,-75.6985611
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5048461,-75.7000188
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5045781,-75.7021293
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5043214,-75.7041469
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5043023,-75.7042982
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5042723,-75.7045348
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5042448,-75.7047495
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5042193,-75.7049458
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5041946,-75.7051342
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5041699,-75.7053189
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5041424,-75.7055119
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5041134,-75.705706
30074753,"Autoroute Guy-Lafleur","50",motorway,45.504086,-75.705879
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5040587,-75.7060405
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5040266,-75.7062193
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5039906,-75.7064094
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5039539,-75.7065923
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5039163,-75.7067702
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5038768,-75.7069486
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5038362,-75.7071245
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5037967,-75.7072881
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5037578,-75.7074424
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5037175,-75.7075961
30074753,"Autoroute Guy-Lafleur","50",motorway,45.503677,-75.7077454
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5036396,-75.7078795
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5036034,-75.7080054
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5035621,-75.7081448
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5035161,-75.7082963
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5034657,-75.7084558
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5034121,-75.7086197
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5033588,-75.7087768
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5033053,-75.7089291
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5032495,-75.7090829
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5031914,-75.7092386
30074753,"Autoroute Guy-Lafleur","50",motorway,45.503131,-75.7093975
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5030688,-75.7095576
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5030058,-75.7097126
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5029425,-75.7098621
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5028809,-75.710004
30074753,"Autoroute Guy-Lafleur","50",motorway,45.50282,-75.7101402
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5027579,-75.7102758
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5026944,-75.7104111
30074753,"Autoroute Guy-Lafleur","50",motorway,45.502629,-75.710547
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5025619,-75.7106834
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5024933,-75.7108201
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5024224,-75.7109581
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5023467,-75.7111001
30074753,"Autoroute Guy-Lafleur","50",motorway,45.502267,-75.7112449
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5021856,-75.7113885
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5021035,-75.7115298
30074753,"Autoroute Guy-Lafleur","50",motorway,45.502023,-75.7116654
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5019451,-75.711794
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5018716,-75.7119124
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5018002,-75.7120246
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5017232,-75.7121432
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5016411,-75.7122671
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5015553,-75.712393
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5014668,-75.7125196
30074753,"Autoroute Guy-Lafleur","50",motorway,45.501379,-75.7126423
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5012933,-75.7127591
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5012137,-75.7128643
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5011381,-75.7129612
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5010601,-75.7130594
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5009796,-75.7131587
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5008968,-75.7132582
30074753,"Autoroute Guy-Lafleur","50",motorway,45.500812,-75.7133574
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5007264,-75.7134554
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5006408,-75.7135513
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5005572,-75.713643
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5004762,-75.7137302
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5003993,-75.7138115
30074753,"Autoroute Guy-Lafleur","50",motorway,45.500329,-75.7138851
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5002722,-75.7139447
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5002246,-75.7139945
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5001723,-75.7140465
30074753,"Autoroute Guy-Lafleur","50",motorway,45.5001134,-75.7141029
