schoolName,boardName,schoolLevel,avgScore
"St Patrick Elementary School","Ottawa CSB","Elementary",75
"St. Juan Diego Catholic Elementary School","Ottawa CSB","Elementary",75
"A. Lorne Cassidy Elementary School","Ottawa-Carleton DSB","Elementary",75
"Barrhaven Public School","Ottawa-Carleton DSB","Elementary",75
"Bayview Public School","Ottawa-Carleton DSB","Elementary",75
"Elgin Street Public School","Ottawa-Carleton DSB","Elementary",75
"Hilson Avenue Public School","Ottawa-Carleton DSB","Elementary",75
"Mary Honeywell Elementary School","Ottawa-Carleton DSB","Elementary",75
"Westwind Public School","Ottawa-Carleton DSB","Elementary",75
"St Michael (Fitzroy) Elementary School","Ottawa CSB","Elementary",74
"St. Francis Xavier (9-12) Catholic School","Ottawa CSB","Secondary",74
"Longfields Davidson Heights Secondary School","Ottawa-Carleton DSB","Secondary",74
"École élémentaire catholique Sainte-Geneviève","CSDC du Centre-Est de l'Ontario","Elementary",73
"Holy Cross Elementary School","Ottawa CSB","Elementary",73
"St Leonard Elementary School","Ottawa CSB","Elementary",73
"St Marguerite d'Youville Elementary School","Ottawa CSB","Elementary",73
"St Theresa Elementary School","Ottawa CSB","Elementary",73
"Berrigan Elementary School","Ottawa-Carleton DSB","Elementary",73
"John McCrae Secondary School","Ottawa-Carleton DSB","Secondary",73
"South March Public School","Ottawa-Carleton DSB","Elementary",73
"Steve MacLean Public School","Ottawa-Carleton DSB","Elementary",73
"Terry Fox Elementary School","Ottawa-Carleton DSB","Elementary",73
"Holy Redeemer Elementary School","Ottawa CSB","Elementary",72
"St Philip Elementary School","Ottawa CSB","Elementary",72
"Lady Evelyn Alternative School","Ottawa-Carleton DSB","Elementary",72
"Pleasant Park Public School","Ottawa-Carleton DSB","Elementary",72
"Richmond Public School","Ottawa-Carleton DSB","Elementary",72
"Our Lady of Peace Elementary School","Ottawa CSB","Elementary",71
"St Martin de Porres Elementary School","Ottawa CSB","Elementary",71
"St Mary (Gloucester) Elementary School","Ottawa CSB","Elementary",71
"St Matthew High School","Ottawa CSB","Secondary",71
"St Monica Elementary School","Ottawa CSB","Elementary",71
"Churchill Alternative School","Ottawa-Carleton DSB","Elementary",71
"Heritage Public School","Ottawa-Carleton DSB","Elementary",71
"Kars on the Rideau Public School","Ottawa-Carleton DSB","Elementary",71
"Monsignor Paul Baxter Elementary School","Ottawa CSB","Elementary",70
"St Peter High School","Ottawa CSB","Secondary",70
"Adrienne Clarkson Elementary School","Ottawa-Carleton DSB","Elementary",70
"Fallingbrook Community Elementary School","Ottawa-Carleton DSB","Elementary",70
"Half Moon Bay Public School","Ottawa-Carleton DSB","Elementary",70
"St Pius X High School","Ottawa CSB","Secondary",69
"St. Kateri Tekakwitha Elementary School","Ottawa CSB","Elementary",69
"Bridlewood Community Elementary School","Ottawa-Carleton DSB","Elementary",69
"Glen Ogilvie Public School","Ottawa-Carleton DSB","Elementary",69
"École élémentaire publique Marie-Curie","CÉP de l'Est de l'Ontario","Elementary",68
"Georges Vanier Catholic Elementary School","Ottawa CSB","Elementary",68
"Immaculata High School","Ottawa CSB","Secondary",68
"Castlefrank Elementary School","Ottawa-Carleton DSB","Elementary",68
"South Carleton High School","Ottawa-Carleton DSB","Secondary",68
"Summerside Public School","Ottawa-Carleton DSB","Elementary",68
"Wazoson Public School","Ottawa-Carleton DSB","Elementary",68
"École élémentaire catholique Marius-Barbeau","CSDC du Centre-Est de l'Ontario","Elementary",67
"St Bernard Elementary School","Ottawa CSB","Elementary",67
"St Thomas More Elementary School","Ottawa CSB","Elementary",67
"St. John XXIII Elementary School","Ottawa CSB","Elementary",67
"St. Rose of Lima Elementary School","Ottawa CSB","Elementary",67
"Alta Vista Public School","Ottawa-Carleton DSB","Elementary",67
"Farley Mowat Public School","Ottawa-Carleton DSB","Elementary",67
"Forest Valley Elementary School","Ottawa-Carleton DSB","Elementary",67
"Severn Avenue Public School","Ottawa-Carleton DSB","Elementary",67
"Sir Wilfrid Laurier Secondary School","Ottawa-Carleton DSB","Secondary",67
"Vincent Massey Public School","Ottawa-Carleton DSB","Elementary",67
"École secondaire publique Omer-Deslauriers","CÉP de l'Est de l'Ontario","Secondary",66
"St Clare Elementary School","Ottawa CSB","Elementary",66
"St Paul High School","Ottawa CSB","Secondary",66
"St Rita Elementary School","Ottawa CSB","Elementary",66
"Thomas D'Arcy McGee Elementary School","Ottawa CSB","Elementary",66
"Cairine Wilson Secondary School","Ottawa-Carleton DSB","Secondary",66
"Goulbourn Middle School","Ottawa-Carleton DSB","Elementary",66
"Huntley Centennial Public School","Ottawa-Carleton DSB","Elementary",66
"Osgoode Public School","Ottawa-Carleton DSB","Elementary",66
"Sir Robert Borden High School","Ottawa-Carleton DSB","Secondary",66
"Stonecrest Elementary School","Ottawa-Carleton DSB","Elementary",66
