neighbourhood_id,neighbourhood_name,name,shop_type,category,brand,address,latitude,longitude,osm_id,osm_type
billings-bridge-heron-park,Billings Bridge - Heron Park,YOUR INDEPENDENT GROCER - RILEY'S,,grocery,,2269 RIVERSIDE DR,45.3857215,-75.6783285,,
blackburn-hamlet,Blackburn Hamlet,DOLLARAMA,,grocery,,2640 INNES RD,45.4317884,-75.5629293,,
blackburn-hamlet,Blackburn Hamlet,PETRO CANADA,,grocery,,2630 INNES RD,45.4315201,-75.5640978,,
blackburn-hamlet,Blackburn Hamlet,SHOPPERS DRUG MART,,grocery,,2638 INNES RD,45.4311586,-75.5626076,,
blossom-park-timbermill,Blossom Park - Timbermill,CIRCLE K,,grocery,,2100 HUNT CLUB RD,45.3640885,-75.6201797,,
blossom-park-timbermill,Blossom Park - Timbermill,DOLLAR TREE,,grocery,,2950 BANK ST,45.3459818,-75.6267278,,
blossom-park-timbermill,Blossom Park - Timbermill,FARM BOY,,grocery,,2950 BANK ST,45.3459818,-75.6267278,,
blossom-park-timbermill,Blossom Park - Timbermill,OZZY FOOD MARKET,,grocery,,3867 ALBION RD,45.343278,-75.6365584,,
blossom-park-timbermill,Blossom Park - Timbermill,PETRO CANADA,,grocery,,2536 BANK ST,45.3537108,-75.6421796,,
borden-farm-fisher-glen,Borden Farm - Fisher Glen,GREEN FRESH SUPERMARKET,,grocery,,1695 MERIVALE RD,45.3468634,-75.7291442,,
borden-farm-fisher-glen,Borden Farm - Fisher Glen,NO FRILLS,,grocery,,200 GRANT CARMEN DR,45.351331,-75.7307124,,
borden-farm-fisher-glen,Borden Farm - Fisher Glen,YOUR INDEPENDENT GROCER,,grocery,,200 GRANT CARMAN DR,45.351331,-75.7307124,,
braemar-park-bel-air-heights-copeland-park,Braemar Park - Bel Air Heights - Copeland Park,CIRCLE K,,grocery,,1827 BASELINE RD,45.3547943,-75.7560522,,
bridlewood-emerald-meadows,Bridlewood - Emerald Meadows,CIRCLE K,,grocery,,62 STONEHAVEN DR,45.2923085,-75.8578066,,
bridlewood-emerald-meadows,Bridlewood - Emerald Meadows,CIRCLE K,,grocery,,907 EAGLESON RD,45.2704335,-75.8568898,,
bridlewood-emerald-meadows,Bridlewood - Emerald Meadows,QUICKIE CONVENIENCE STORES,,grocery,,800 STONEHAVEN DR,45.2811801,-75.8379991,,
bridlewood-emerald-meadows,Bridlewood - Emerald Meadows,SPICE WORLD SUPERMARKET,,grocery,,62 STONEHAVEN DR,45.2922842,-75.8577236,,
britannia,Britannia,DAMAS SUPERMARKET,,grocery,,3033 CARLING AVE,45.3550822,-75.8063329,,
britannia,Britannia,FARM BOY,,grocery,,1495 RICHMOND ROAD,45.362791,-75.7912934,,
britannia,Britannia,METRO,,grocery,,2525 CARLING AVE,45.364982,-75.7857631,,
britannia,Britannia,PETRO CANADA - NEIGHBOURS COFFEE,,grocery,,3095 CARLING AVE,45.3532242,-75.8095591,,
britannia,Britannia,QUICKIE CONVENIENCE STORES,,grocery,,1386 RICHMOND RD,45.3651059,-75.7877922,,
britannia,Britannia,QUICKIE CONVENIENCE STORES,,grocery,,361 POULIN AVE,45.3630049,-75.7917297,,
britannia,Britannia,QUICKIE CONVENIENCE STORES,,grocery,,2 GOLDRIDGE DR,45.3651412,-75.7878017,,
britannia,Britannia,REXALL PHARMA PLUS,,grocery,,2525 CARLING AVE,45.3650586,-75.7859973,,
britannia,Britannia,SHOPPERS DRUG MART,,grocery,,1460 RICHMOND RD,45.3629179,-75.7902315,,
britannia,Britannia,SOUTH ASIAN SUPERMARKET,,grocery,,3059 CARLING AVE,45.3544377,-75.8072934,,
britannia,Britannia,UNCLE ALI'S SUPERMARKET,,grocery,,3059 CARLING AVE,45.3543897,-75.8071823,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,METRO,,grocery,,4048 CARLING AVE,45.3368085,-75.9072201,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,REXALL,,grocery,,4048 CARLING AVE,45.3368085,-75.9072201,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,REXALL,,grocery,,832 MARCH RD,45.356811,-75.933407,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,SHOPPERS DRUG MART,,grocery,,1102 KLONDIKE RD,45.3547474,-75.9330106,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,SOBEYS,,grocery,,840 MARCH ROAD,45.3565983,-75.9344608,,
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,TIME SAVER,,grocery,,350 TERRY FOX DR,45.3518937,-75.9186706,,
cardinal-creek,Cardinal Creek,CIRCLE K,,grocery,,1985 TRIM RD,45.4711577,-75.4539463,,
cardinal-creek,Cardinal Creek,FRESHCO,,grocery,,920 WATTERS RD,45.48287,-75.47484,,
cardinal-creek,Cardinal Creek,SHOPPERS DRUG MART,,grocery,,1937 PORTOBELLO BOULEVARD,45.4680794,-75.4658681,,
carleton-heights-courtland-park,Carleton Heights - Courtland Park,HASTY MARKET,,grocery,,1896 PRINCE OF WALES DR,45.3537232,-75.704817,,
carleton-heights-courtland-park,Carleton Heights - Courtland Park,PETRO CANADA,,grocery,,1900 PRINCE OF WALES DR,45.3531179,-75.7046464,,
carleton-heights-courtland-park,Carleton Heights - Courtland Park,SHOPPERS DRUG MART,,grocery,,888 MEADOWLANDS DR E,45.3671249,-75.7025045,,
carleton-heights-courtland-park,Carleton Heights - Courtland Park,WISSAM FRUITS,,grocery,,888 MEADOWLANDS DR,45.3671249,-75.7025045,,
carlington,Carlington,CIRCLE K,,grocery,,1025 MERIVALE RD,45.3789535,-75.7329041,,
carlington,Carlington,DOLLAR'S VARIETY MART,,grocery,,1309 CARLING AVE,45.3867616,-75.7342061,,
carlington,Carlington,KARDISH BULK FOOD AND NUTRITION,,grocery,,1309 CARLING AVE,45.387597,-75.7342256,,
carlington,Carlington,KING'S CONFECTIONERY,,grocery,,1224 SHILLINGTON AVE,45.3806314,-75.7283501,,
carlington,Carlington,MAGIC EXPRESS SUPERMARKET,,grocery,,1014 MERIVALE,45.3794717,-75.7335876,,
carlington,Carlington,MF FOOD MART,,grocery,,848 MERIVALE RD,45.385366,-75.7326505,,
carlington,Carlington,QUICKIE CONVENIENCE STORES,,grocery,,1435 CALDWELL AVE,45.3728197,-75.7348924,,
